month_start,month,channel,spend,spend_missing,revenue,orders,sessions,bounced_sessions
2025-01-01,2025-01,Affiliate,1121.0,0,2129.9,10,556,347.45
2025-01-01,2025-01,Email,682.93,0,3826.2799999999997,11,314,141.38
2025-01-01,2025-01,Google Ads,4400.94,0,9779.65,32,1524,731.57
2025-01-01,2025-01,Meta,2287.0,0,5292.26,21,1500,869.08
2025-01-01,2025-01,Organic,493.0,0,2774.06,9,321,130.1
2025-02-01,2025-02,Affiliate,1009.0,0,1931.15,9,500,308.6
2025-02-01,2025-02,Email,631.05,0,2940.21,9,257,105.58
2025-02-01,2025-02,Google Ads,3937.0,0,11580.91,38,1810,840.6
2025-02-01,2025-02,Meta,2306.0,0,5258.49,21,1500,864.4
2025-02-01,2025-02,Organic,442.0,0,2411.1800000000003,8,286,114.46
2025-03-01,2025-03,Affiliate,1161.0,0,2094.75,9,500,311.58
2025-03-01,2025-03,Email,869.0,0,4562.04,14,400,178.22
2025-03-01,2025-03,Google Ads,4576.73,0,12792.15,42,2000,948.1
2025-03-01,2025-03,Meta,3002.68,0,6991.09,28,2000,1162.68
2025-03-01,2025-03,Organic,496.66,0,2434.04,8,286,114.29
2025-04-01,2025-04,Affiliate,1160.16,0,2200.32,10,556,353.83
2025-04-01,2025-04,Email,740.0,0,4290.389999999999,13,371,161.79
2025-04-01,2025-04,Google Ads,4745.13,0,13754.4,45,2143,1041.5
2025-04-01,2025-04,Meta,2329.15,0,5266.92,21,1500,881.7
2025-04-01,2025-04,Organic,546.0,0,2897.9700000000003,9,321,135.48
2025-05-01,2025-05,Affiliate,1131.0,0,1973.1000000000001,9,500,315.11
2025-05-01,2025-05,Email,771.0,0,3714.08,11,314,138.27
2025-05-01,2025-05,Google Ads,4959.0,0,17196.28,56,2667,1235.02
2025-05-01,2025-05,Meta,2733.0,0,7837.5599999999995,31,2214,1258.5
2025-05-01,2025-05,Organic,514.06,0,3315.61,10,357,143.7
2025-06-01,2025-06,Affiliate,1133.0,0,1966.43,9,500,312.97
