month,channel,spend
2025-01,Google Ads,4400.94
2025-01,Meta,2287.0
2025-01,Email,682.93
2025-01,Organic,493.0
2025-01,Affiliate,1121.0
2025-02,Google Ads,3937.0
2025-02,Meta,2306.0
2025-02,Email,631.05
2025-02,Organic,442.0
2025-02,Affiliate,1009.0
2025-03,Google Ads,4576.73
2025-03,Meta,3002.68
2025-03,Email,869.0
2025-03,Organic,496.66
2025-03,Affiliate,1161.0
2025-04,Google Ads,4745.13
2025-04,Meta,2329.15
2025-04,Email,740.0
2025-04,Organic,546.0
2025-04,Affiliate,1160.16
2025-05,Google Ads,4959.0
2025-05,Meta,2733.0
2025-05,Email,771.0
2025-05,Organic,514.06
2025-05,Affiliate,1131.0
2025-06,Google Ads,4363.0
2025-06,Meta,2468.36
2025-06,Email,788.48
2025-06,Organic,539.0
2025-06,Affiliate,1133.0
2025-07,Google Ads,4400.0
2025-07,Meta,2663.34
2025-07,Email,871.0
2025-07,Organic,553.0
2025-08,Google Ads,4377.68
2025-08,Meta,2626.0
2025-08,Email,682.91
2025-08,Organic,528.0
2025-08,Affiliate,1328.0
2025-09,Google Ads,5138.48
2025-09,Meta,2850.0
2025-09,Email,946.6
2025-09,Organic,563.25
2025-09,Affiliate,1194.03
2025-10,Google Ads,4828.24
2025-10,Meta,3185.36
2025-10,Email,861.93
2025-10,Organic,690.34
2025-10,Affiliate,1378.0
2025-11,Google Ads,6161.46
2025-11,Meta,3534.0
2025-11,Email,1196.84
2025-11,Organic,789.92
2025-11,Affiliate,1398.44
2025-12,Google Ads,5604.76
2025-12,Meta,3433.0
2025-12,Email,1061.39
2025-12,Organic,645.69
2025-12,Affiliate,1594.0
2026-01,Google Ads,4288.02
2026-01,Meta,2741.0
2026-01,Email,694.52
2026-01,Organic,491.0
2026-01,Affiliate,1023.22
2026-02,Google Ads,4536.56
2026-02,Meta,2536.23
2026-02,Email,708.0
2026-02,Organic,478.0
2026-03,Google Ads,5331.73
2026-03,Meta,3009.04
2026-03,Email,720.0
2026-03,Organic,509.0
2026-03,Affiliate,1297.48
2026-04,Google Ads,4836.0
2026-04,Meta,3010.6
2026-04,Email,831.83
2026-04,Organic,492.8
2026-04,Affiliate,1205.35
2026-05,Google Ads,5415.15
2026-05,Meta,2760.11
2026-05,Email,822.0
2026-05,Organic,566.55
2026-05,Affiliate,1293.15
2026-06,Google Ads,4504.65
2026-06,Meta,2984.0
2026-06,Email,880.0
2026-06,Organic,574.0
2026-06,Affiliate,1293.65
