order_id,order_date,month,customer_id,channel,revenue,region
ORD-101072,2025-11-10,2025-11,CUST-11119,Email,216.38,West
ORD-101048,2025-11-04,2025-11,CUST-10318,Meta,374.3,Southeast
ORD-100204,2025-03-15,2025-03,CUST-10973,Google Ads,117.9,Southeast
ORD-100694,2025-07-31,2025-07,CUST-10621,Google Ads,456.3,Midwest
ORD-101758,2026-05-04,2026-05,CUST-10021,Google Ads,191.78,Southeast
ORD-100284,2025-04-06,2025-04,CUST-10788,Meta,145.37,Northeast
ORD-101866,2026-06-04,2026-06,CUST-10145,Google Ads,726.35,Northeast
ORD-101926,2026-06-17,2026-06,CUST-10111,Email,274.58,West
ORD-101886,2026-06-09,2026-06,CUST-11127,Google Ads,360.53,Northeast
ORD-101724,2026-04-26,2026-04,CUST-10409,Email,368.89,West
ORD-100868,2025-09-19,2025-09,CUST-10630,Affiliate,165.23,Midwest
ORD-101891,2026-06-11,2026-06,CUST-10003,Google Ads,99.04,West
ORD-101782,2026-05-11,2026-05,CUST-11009,Google Ads,897.48,Southwest
ORD-101703,2026-04-21,2026-04,CUST-11266,Google Ads,264.33,Midwest
ORD-100802,2025-09-01,2025-09,CUST-10657,Email,273.38,Southeast
ORD-101302,2025-12-27,2025-12,CUST-10871,Organic,335.07,West
ORD-101274,2025-12-22,2025-12,CUST-10642,Affiliate,147.6,Southeast
ORD-101037,2025-11-02,2025-11,CUST-10975,Meta,123.28,West
ORD-100595,2025-07-04,2025-07,CUST-10422,Google Ads,181.29,Northeast
ORD-101912,2026-06-14,2026-06,CUST-10118,Google Ads,537.75,Midwest
ORD-101824,2026-05-24,2026-05,CUST-11009,Meta,423.09,Northeast
ORD-101028,2025-11-01,2025-11,CUST-10929,Organic,326.27,Northeast
ORD-100350,2025-04-24,2025-04,CUST-10959,Email,115.74,Southeast
ORD-101089,2025-11-13,2025-11,CUST-10280,Email,136.03,West
ORD-100002,2025-01-03,2025-01,CUST-10604,Meta,285.76,Southwest
ORD-101075,2025-11-10,2025-11,CUST-10608,Google Ads,183.35,Northeast
ORD-101504,2026-02-27,2026-02,CUST-11202,Google Ads,542.37,Southeast
ORD-100110,2025-02-09,2025-02,CUST-10891,Email,185.95,Northeast
ORD-101062,2025-11-09,2025-11,CUST-11041,Google Ads,473.66,Northeast
ORD-100108,2025-02-08,2025-02,CUST-10946,Google Ads,753.69,Southeast
ORD-100918,2025-10-02,2025-10,CUST-10630,Meta,413.88,Southeast
ORD-100500,2025-06-06,2025-06,CUST-11024,Organic,191.71,Northeast
ORD-100361,2025-04-28,2025-04,CUST-10031,Email,363.7,Northeast
ORD-101547,2026-03-09,2026-03,CUST-10627,Meta,152.87,Southeast
ORD-101281,2025-12-24,2025-12,CUST-10424,Google Ads,132.21,Midwest
ORD-101158,2025-11-27,2025-11,CUST-11047,Meta,252.61,Southeast
ORD-101327,2025-12-31,2025-12,CUST-10856,Meta,250.04,Midwest
ORD-100196,2025-03-13,2025-03,CUST-10249,Google Ads,138.32,Southeast
ORD-101817,2026-05-21,2026-05,CUST-10538,Email,544.51,Northeast
ORD-100237,2025-03-22,2025-03,CUST-11224,Organic,415.15,Midwest
ORD-100788,2025-08-29,2025-08,CUST-10932,Affiliate,209.73,Northeast
ORD-100720,2025-08-08,2025-08,CUST-10583,Meta,77.07,West
ORD-101295,2025-12-26,2025-12,CUST-11069,Meta,229.22,Southeast
ORD-101409,2026-01-27,2026-01,CUST-10836,Meta,224.48,Midwest
ORD-101704,2026-04-21,2026-04,CUST-10875,Google Ads,209.69,Midwest
ORD-100544,2025-06-18,2025-06,CUST-10543,Google Ads,438.74,Northeast
ORD-101260,2025-12-18,2025-12,CUST-10939,Email,100.25,Northeast
ORD-101884,2026-06-09,2026-06,CUST-10871,Organic,278.34,Midwest
ORD-101306,2025-12-28,2025-12,CUST-11263,Meta,471.49,Southeast
ORD-100845,2025-09-14,2025-09,CUST-10846,Email,135.7,Unknown
ORD-100841,2025-09-13,2025-09,CUST-10025,Google Ads,169.81,Unknown
ORD-101317,2025-12-30,2025-12,CUST-10625,Email,224.25,West
ORD-101545,2026-03-09,2026-03,CUST-10100,Email,187.13,Midwest
ORD-101647,2026-04-03,2026-04,CUST-10953,Meta,227.06,Southeast
ORD-101733,2026-04-28,2026-04,CUST-10629,Meta,229.88,Northeast
ORD-101056,2025-11-06,2025-11,CUST-10377,Google Ads,502.49,Midwest
ORD-101793,2026-05-15,2026-05,CUST-11264,Google Ads,204.88,Northeast
ORD-100172,2025-03-02,2025-03,CUST-10209,Meta,309.53,Midwest
ORD-101787,2026-05-13,2026-05,CUST-10417,Google Ads,243.81,Midwest
ORD-100835,2025-09-10,2025-09,CUST-10928,Meta,175.35,Southwest
ORD-100441,2025-05-21,2025-05,CUST-10874,Google Ads,182.39,Southeast
ORD-101554,2026-03-11,2026-03,CUST-11189,Meta,411.9,Southeast
ORD-101375,2026-01-16,2026-01,CUST-10046,Affiliate,111.6,Southeast
ORD-100789,2025-08-29,2025-08,CUST-10790,Google Ads,430.84,Midwest
ORD-100185,2025-03-07,2025-03,CUST-10193,Google Ads,187.61,West
ORD-100438,2025-05-20,2025-05,CUST-10197,Google Ads,587.82,Southeast
ORD-100372,2025-05-01,2025-05,CUST-10975,Meta,164.98,Northeast
ORD-100140,2025-02-19,2025-02,CUST-10409,Google Ads,409.73,Southeast
ORD-101277,2025-12-23,2025-12,CUST-10718,Google Ads,107.75,Southeast
ORD-101396,2026-01-23,2026-01,CUST-10519,Meta,797.08,Southeast
ORD-101469,2026-02-16,2026-02,CUST-10959,Google Ads,284.68,Unknown
ORD-100586,2025-07-01,2025-07,CUST-10962,Google Ads,771.04,Midwest
ORD-100848,2025-09-14,2025-09,CUST-10521,Email,415.21,West
ORD-100299,2025-04-10,2025-04,CUST-10073,Meta,141.95,West
ORD-100795,2025-09-01,2025-09,CUST-10716,Email,95.84,Northeast
ORD-101412,2026-01-29,2026-01,CUST-10938,Google Ads,321.01,West
ORD-100353,2025-04-24,2025-04,CUST-11296,Meta,193.44,West
ORD-101070,2025-11-10,2025-11,CUST-11264,Google Ads,224.43,Southwest
ORD-101464,2026-02-15,2026-02,CUST-10538,Google Ads,315.07,Southeast
ORD-101686,2026-04-16,2026-04,CUST-10933,Google Ads,419.66,West
ORD-101844,2026-05-29,2026-05,CUST-10814,Meta,255.49,Southwest
ORD-100957,2025-10-12,2025-10,CUST-10249,Google Ads,308.03,Southeast
ORD-101534,2026-03-06,2026-03,CUST-10551,Google Ads,230.74,West
ORD-101682,2026-04-15,2026-04,CUST-10039,Organic,338.68,West
ORD-100715,2025-08-07,2025-08,CUST-11100,Meta,277.72,Southeast
ORD-101432,2026-02-04,2026-02,CUST-10409,Meta,227.63,Midwest
ORD-100423,2025-05-15,2025-05,CUST-10891,Email,143.92,West
ORD-100311,2025-04-13,2025-04,CUST-10021,Google Ads,252.06,Northeast
ORD-101323,2025-12-31,2025-12,CUST-10573,Google Ads,436.81,Southwest
ORD-101381,2026-01-18,2026-01,CUST-10301,Affiliate,238.01,Northeast
ORD-101680,2026-04-15,2026-04,CUST-10970,Meta,125.49,Southeast
ORD-100037,2025-01-19,2025-01,CUST-10665,Email,353.45,Northeast
ORD-100527,2025-06-14,2025-06,CUST-10379,Google Ads,110.58,Midwest
ORD-100691,2025-07-31,2025-07,CUST-10977,Google Ads,291.76,Northeast
ORD-101240,2025-12-14,2025-12,CUST-10363,Email,577.37,West
ORD-100707,2025-08-04,2025-08,CUST-10772,Meta,302.47,Southwest
ORD-100058,2025-01-23,2025-01,CUST-10280,Organic,447.39,Unknown
ORD-101496,2026-02-24,2026-02,CUST-11092,Email,469.34,Midwest
ORD-101210,2025-12-07,2025-12,CUST-11053,Email,146.73,West
ORD-100127,2025-02-14,2025-02,CUST-10136,Google Ads,146.35,West
ORD-100447,2025-05-23,2025-05,CUST-10705,Meta,204.17,Midwest
