session_date,month,channel,sessions,bounce_rate
2025-01-01,2025-01,Google Ads,22,0.449
2025-01-01,2025-01,Organic,6,0.47
2025-01-01,2025-01,Organic,9,0.485
2025-01-01,2025-01,Meta,81,0.627
2025-01-01,2025-01,Email,7,0.398
2025-01-01,2025-01,Affiliate,14,0.701
2025-01-01,2025-01,Google Ads,26,0.446
2025-01-02,2025-01,Meta,15,0.545
2025-01-02,2025-01,Organic,2,0.458
2025-01-02,2025-01,Email,3,0.526
2025-01-02,2025-01,Email,2,0.416
2025-01-02,2025-01,Google Ads,24,0.542
2025-01-02,2025-01,Affiliate,15,0.659
2025-01-02,2025-01,Meta,12,0.446
2025-01-02,2025-01,Email,2,0.387
2025-01-02,2025-01,Google Ads,33,0.469
2025-01-02,2025-01,Organic,2,0.303
2025-01-03,2025-01,Meta,18,0.519
2025-01-03,2025-01,Meta,16,0.635
2025-01-03,2025-01,Google Ads,22,0.58
2025-01-03,2025-01,Email,6,0.312
2025-01-03,2025-01,Affiliate,19,0.703
2025-01-03,2025-01,Email,4,0.381
2025-01-03,2025-01,Meta,15,0.507
2025-01-03,2025-01,Google Ads,23,0.486
2025-01-03,2025-01,Organic,10,0.411
2025-01-04,2025-01,Email,7,0.554
2025-01-04,2025-01,Meta,51,0.576
2025-01-04,2025-01,Email,5,0.395
2025-01-04,2025-01,Google Ads,9,0.521
2025-01-04,2025-01,Google Ads,16,0.504
2025-01-04,2025-01,Organic,1,0.384
2025-01-04,2025-01,Google Ads,19,0.423
2025-01-04,2025-01,Organic,5,0.539
2025-01-04,2025-01,Affiliate,12,0.716
2025-01-05,2025-01,Affiliate,7,0.636
2025-01-05,2025-01,Affiliate,12,0.701
2025-01-05,2025-01,Organic,6,0.452
2025-01-05,2025-01,Organic,4,0.369
2025-01-05,2025-01,Affiliate,17,0.512
2025-01-05,2025-01,Email,12,0.378
2025-01-05,2025-01,Meta,51,0.575
2025-01-05,2025-01,Google Ads,27,0.441
2025-01-05,2025-01,Google Ads,23,0.508
2025-01-06,2025-01,Google Ads,15,0.517
2025-01-06,2025-01,Google Ads,16,0.505
2025-01-06,2025-01,Affiliate,8,0.609
2025-01-06,2025-01,Meta,59,0.609
2025-01-06,2025-01,Organic,15,0.343
2025-01-06,2025-01,Organic,8,0.39
2025-01-06,2025-01,Affiliate,13,0.554
2025-01-06,2025-01,Email,4,0.487
2025-01-06,2025-01,Google Ads,22,0.412
2025-01-06,2025-01,Email,6,0.53
2025-01-06,2025-01,Affiliate,5,0.531
2025-01-07,2025-01,Google Ads,29,0.598
2025-01-07,2025-01,Affiliate,10,0.664
2025-01-07,2025-01,Meta,36,0.612
2025-01-07,2025-01,Google Ads,19,0.468
2025-01-07,2025-01,Affiliate,12,0.545
2025-01-07,2025-01,Email,1,0.439
2025-01-07,2025-01,Meta,27,0.512
2025-01-07,2025-01,Organic,7,0.457
2025-01-07,2025-01,Organic,4,0.376
2025-01-07,2025-01,Email,2,0.434
2025-01-07,2025-01,Email,6,0.371
2025-01-08,2025-01,Meta,19,0.541
2025-01-08,2025-01,Organic,7,0.507
2025-01-08,2025-01,Affiliate,6,0.608
2025-01-08,2025-01,Affiliate,6,0.603
2025-01-08,2025-01,Email,15,0.435
2025-01-08,2025-01,Organic,3,0.344
2025-01-08,2025-01,Affiliate,7,0.595
2025-01-08,2025-01,Organic,3,0.345
2025-01-08,2025-01,Meta,18,0.593
2025-01-08,2025-01,Meta,15,0.63
2025-01-08,2025-01,Google Ads,51,0.451
2025-01-09,2025-01,Meta,18,0.597
2025-01-09,2025-01,Organic,2,0.317
2025-01-09,2025-01,Google Ads,12,0.52
2025-01-09,2025-01,Google Ads,20,0.495
2025-01-09,2025-01,Email,11,0.358
2025-01-09,2025-01,Organic,3,0.411
2025-01-09,2025-01,Organic,5,0.407
2025-01-09,2025-01,Affiliate,13,0.656
2025-01-09,2025-01,Meta,17,0.624
2025-01-10,2025-01,Email,2,0.523
2025-01-10,2025-01,Meta,17,0.622
2025-01-10,2025-01,Meta,13,0.643
2025-01-10,2025-01,Organic,1,0.368
2025-01-10,2025-01,Affiliate,8,0.628
2025-01-10,2025-01,Meta,9,0.612
2025-01-10,2025-01,Affiliate,6,0.551
2025-01-10,2025-01,Google Ads,23,0.427
2025-01-10,2025-01,Email,4,0.393
2025-01-10,2025-01,Organic,3,0.415
2025-01-10,2025-01,Google Ads,20,0.434
2025-01-11,2025-01,Affiliate,13,0.615
2025-01-11,2025-01,Meta,55,0.594
2025-01-11,2025-01,Google Ads,19,0.51
2025-01-11,2025-01,Google Ads,8,0.442
2025-01-11,2025-01,Organic,6,0.427
2025-01-11,2025-01,Email,3,0.519
2025-01-11,2025-01,Google Ads,12,0.485
2025-01-11,2025-01,Organic,4,0.459
2025-01-11,2025-01,Affiliate,7,0.651
2025-01-11,2025-01,Email,5,0.333
2025-01-12,2025-01,Organic,10,0.411
2025-01-12,2025-01,Affiliate,3,0.687
2025-01-12,2025-01,Email,7,0.503
2025-01-12,2025-01,Affiliate,6,0.646
2025-01-12,2025-01,Meta,30,0.58
2025-01-12,2025-01,Google Ads,24,0.469
2025-01-12,2025-01,Google Ads,30,0.572
2025-01-12,2025-01,Meta,25,0.507
2025-01-12,2025-01,Affiliate,8,0.574
2025-01-12,2025-01,Email,2,0.413
2025-01-12,2025-01,Email,5,0.437
2025-01-13,2025-01,Google Ads,23,0.502
2025-01-13,2025-01,Meta,12,0.637
2025-01-13,2025-01,Organic,6,0.398
2025-01-13,2025-01,Google Ads,26,0.495
2025-01-13,2025-01,Affiliate,14,0.652
2025-01-13,2025-01,Meta,18,0.597
2025-01-13,2025-01,Meta,15,0.553
2025-01-13,2025-01,Affiliate,8,0.653
2025-01-13,2025-01,Email,14,0.491
2025-01-14,2025-01,Affiliate,9,0.531
2025-01-14,2025-01,Google Ads,26,0.532
2025-01-14,2025-01,Meta,31,0.581
2025-01-14,2025-01,Meta,20,0.623
2025-01-14,2025-01,Organic,3,0.489
2025-01-14,2025-01,Google Ads,28,0.474
2025-01-14,2025-01,Email,6,0.502
2025-01-14,2025-01,Organic,5,0.459
2025-01-14,2025-01,Affiliate,14,0.517
