order_id,order_date,customer_id,channel,revenue,region
ORD-101072,11/10/2025,CUST-11119,email_marketing,216.38,West
ORD-101048,11/04/2025,CUST-10318,meta_ads,374.3,Southeast
ORD-100204,03/15/2025,CUST-10973,GoogleAds,117.9,Southeast
ORD-100694,07/31/2025,CUST-10621,GOOGLE ADS,456.3,Midwest
ORD-101758,05/04/2026,CUST-10021,google_ads,191.78,Southeast
ORD-100284,04/06/2025,CUST-10788,Meta,145.37,Northeast
ORD-101866,06/04/2026,CUST-10145,google_ads,726.35,Northeast
ORD-101926,06/17/2026,CUST-10111,Email,274.58,West
ORD-101886,06/09/2026,CUST-11127,GoogleAds,360.53,Northeast
ORD-101724,04/26/2026,CUST-10409,email_marketing,368.89,West
ORD-100868,09/19/2025,CUST-10630,AFFILIATE,165.23,Midwest
ORD-101891,06/11/2026,CUST-10003,google_ads,99.04,West
ORD-101782,05/11/2026,CUST-11009,Google Ads,897.48,Southwest
ORD-101703,04/21/2026,CUST-11266,Google Ads,264.33,Midwest
ORD-100802,09/01/2025,CUST-10657,EMAIL,273.38,Southeast
ORD-101302,12/27/2025,CUST-10871,ORGANIC,335.07,West
ORD-101274,12/22/2025,CUST-10642,Affiliates,147.6,Southeast
ORD-101037,11/02/2025,CUST-10975,FB Ads,123.28,West
ORD-100595,07/04/2025,CUST-10422,google_ads,181.29,Northeast
ORD-101912,06/14/2026,CUST-10118,google_ads,537.75,Midwest
ORD-101824,05/24/2026,CUST-11009,FB Ads,423.09,Northeast
ORD-101028,11/01/2025,CUST-10929,Organic Search,326.27,Northeast
ORD-100350,04/24/2025,CUST-10959,E-mail,115.74,Southeast
ORD-101089,11/13/2025,CUST-10280,EMAIL,136.03,West
ORD-100002,01/03/2025,CUST-10604,Facebook,285.76,Southwest
ORD-101075,11/10/2025,CUST-10608,google_ads,183.35,Northeast
ORD-101504,02/27/2026,CUST-11202,google_ads,542.37,Southeast
ORD-100110,02/09/2025,CUST-10891,EMAIL,185.95,Northeast
ORD-101062,11/09/2025,CUST-11041,GoogleAds,473.66,Northeast
ORD-100108,02/08/2025,CUST-10946,Google Ads,753.69,Southeast
ORD-100918,10/02/2025,CUST-10630,meta_ads,413.88,Southeast
ORD-100500,06/06/2025,CUST-11024,Organic,191.71,Northeast
ORD-100361,04/28/2025,CUST-10031,Email,363.7,Northeast
ORD-101547,03/09/2026,CUST-10627,meta_ads,152.87,Southeast
ORD-101281,12/24/2025,CUST-10424,GoogleAds,132.21,Midwest
