session_date,source,sessions,bounce_rate
2025-01-01,google / cpc,22,0.449
2025-01-01,(organic),6,0.47
2025-01-01,(organic),9,0.485
2025-01-01,FB,81,0.627
2025-01-01,klaviyo,7,0.398
2025-01-01,partner-network,14,0.701
2025-01-01,googleads,26,0.446
2025-01-02,facebook / paid,15,0.545
2025-01-02,seo,2,0.458
2025-01-02,email / newsletter,3,0.526
2025-01-02,klaviyo,2,0.416
2025-01-02,google / cpc,24,0.542
2025-01-02,affiliate / partner,15,0.659
2025-01-02,meta / social,12,0.446
2025-01-02,Email,2,0.387
2025-01-02,google / cpc,33,0.469
2025-01-02,organic,2,0.303
2025-01-03,meta / social,18,0.519
2025-01-03,facebook / paid,16,0.635
2025-01-03,google-ads,22,0.58
2025-01-03,email-campaign,6,0.312
2025-01-03,aff,19,0.703
2025-01-03,klaviyo,4,0.381
2025-01-03,meta / social,15,0.507
2025-01-03,google-ads,23,0.486
2025-01-03,seo,10,0.411
2025-01-04,email / newsletter,7,0.554
2025-01-04,fb_paid,51,0.576
2025-01-04,email / newsletter,5,0.395
2025-01-04,google-ads,9,0.521
2025-01-04,adwords,16,0.504
2025-01-04,google / organic,1,0.384
2025-01-04,adwords,19,0.423
2025-01-04,organic,5,0.539
2025-01-04,AFFILIATE,12,0.716
2025-01-05,affiliate / partner,7,0.636
2025-01-05,aff,12,0.701
2025-01-05,organic,6,0.452
2025-01-05,seo,4,0.369
2025-01-05,aff,17,0.512
2025-01-05,klaviyo,12,0.378
2025-01-05,fb_paid,51,0.575
2025-01-05,adwords,27,0.441
2025-01-05,googleads,23,0.508
2025-01-06,google / cpc,15,0.517
2025-01-06,googleads,16,0.505
2025-01-06,AFFILIATE,8,0.609
2025-01-06,facebook / paid,59,0.609
2025-01-06,seo,15,0.343
2025-01-06,seo,8,0.39
2025-01-06,AFFILIATE,13,0.554
2025-01-06,Email,4,0.487
2025-01-06,google-ads,22,0.412
2025-01-06,Email,6,0.53
2025-01-06,affiliate / partner,5,0.531
2025-01-07,google / cpc,29,0.598
2025-01-07,AFFILIATE,10,0.664
2025-01-07,fb_paid,36,0.612
2025-01-07,googleads,19,0.468
2025-01-07,aff,12,0.545
2025-01-07,klaviyo,1,0.439
2025-01-07,fb_paid,27,0.512
2025-01-07,seo,7,0.457
2025-01-07,google / organic,4,0.376
2025-01-07,email / newsletter,2,0.434
2025-01-07,email / newsletter,6,0.371
2025-01-08,facebook / paid,19,0.541
2025-01-08,seo,7,0.507
2025-01-08,AFFILIATE,6,0.608
2025-01-08,aff,6,0.603
2025-01-08,klaviyo,15,0.435
2025-01-08,organic,3,0.344
2025-01-08,partner-network,7,0.595
2025-01-08,google / organic,3,0.345
2025-01-08,facebook / paid,18,0.593
2025-01-08,fb_paid,15,0.63
2025-01-08,adwords,51,0.451
2025-01-09,fb_paid,18,0.597
2025-01-09,organic,2,0.317
2025-01-09,adwords,12,0.52
2025-01-09,adwords,20,0.495
2025-01-09,email / newsletter,11,0.358
2025-01-09,organic,3,0.411
2025-01-09,organic,5,0.407
2025-01-09,AFFILIATE,13,0.656
2025-01-09,facebook / paid,17,0.624
2025-01-10,email / newsletter,2,0.523
2025-01-10,FB,17,0.622
2025-01-10,fb_paid,13,0.643
2025-01-10,(organic),1,0.368
2025-01-10,partner-network,8,0.628
2025-01-10,meta / social,9,0.612
2025-01-10,aff,6,0.551
2025-01-10,adwords,23,0.427
2025-01-10,email-campaign,4,0.393
2025-01-10,(organic),3,0.415
2025-01-10,google-ads,20,0.434
2025-01-11,affiliate / partner,13,0.615
2025-01-11,FB,55,0.594
2025-01-11,googleads,19,0.51
2025-01-11,google-ads,8,0.442
2025-01-11,seo,6,0.427
2025-01-11,email-campaign,3,0.519
2025-01-11,google-ads,12,0.485
2025-01-11,seo,4,0.459
2025-01-11,aff,7,0.651
2025-01-11,klaviyo,5,0.333
2025-01-12,(organic),10,0.411
2025-01-12,affiliate / partner,3,0.687
2025-01-12,Email,7,0.503
2025-01-12,affiliate / partner,6,0.646
2025-01-12,FB,30,0.58
2025-01-12,adwords,24,0.469
2025-01-12,googleads,30,0.572
2025-01-12,meta / social,25,0.507
2025-01-12,aff,8,0.574
2025-01-12,email-campaign,2,0.413
2025-01-12,email-campaign,5,0.437
2025-01-13,adwords,23,0.502
2025-01-13,fb_paid,12,0.637
2025-01-13,(organic),6,0.398
2025-01-13,adwords,26,0.495
2025-01-13,affiliate / partner,14,0.652
2025-01-13,FB,18,0.597
2025-01-13,fb_paid,15,0.553
2025-01-13,affiliate / partner,8,0.653
2025-01-13,klaviyo,14,0.491
2025-01-14,aff,9,0.531
2025-01-14,googleads,26,0.532
2025-01-14,FB,31,0.581
2025-01-14,meta / social,20,0.623
2025-01-14,google / organic,3,0.489
2025-01-14,adwords,28,0.474
2025-01-14,Email,6,0.502
2025-01-14,google / organic,5,0.459
2025-01-14,AFFILIATE,14,0.517
2025-01-15,fb_paid,24,0.622
2025-01-15,google / organic,4,0.362
2025-01-15,FB,30,0.543
2025-01-15,adwords,33,0.491
2025-01-15,AFFILIATE,13,0.576
2025-01-15,google / organic,3,0.451
2025-01-15,googleads,32,0.422
2025-01-15,email / newsletter,13,0.505
2025-01-15,google / organic,3,0.348
2025-01-15,affiliate / partner,5,0.56
2025-01-16,google / cpc,25,0.479
2025-01-16,googleads,25,0.496
2025-01-16,klaviyo,7,0.516
2025-01-16,FB,15,0.522
2025-01-16,meta / social,18,0.622
2025-01-16,partner-network,20,0.573
2025-01-16,seo,14,0.325
2025-01-16,email-campaign,2,0.331
2025-01-17,aff,5,0.622
2025-01-17,google / cpc,23,0.444
2025-01-17,google-ads,24,0.434
2025-01-17,partner-network,12,0.541
2025-01-17,google-ads,24,0.389
2025-01-17,(organic),15,0.385
2025-01-17,fb_paid,43,0.64
2025-01-17,Email,12,0.495
2025-01-18,meta / social,10,0.577
2025-01-18,fb_paid,9,0.513
2025-01-18,(organic),6,0.419
2025-01-18,email / newsletter,2,0.477
2025-01-18,aff,12,0.634
2025-01-18,(organic),1,0.469
2025-01-18,meta / social,15,0.464
2025-01-18,Email,3,0.382
2025-01-18,google / cpc,33,0.45
2025-01-18,(organic),1,0.411
2025-01-19,facebook / paid,20,0.52
2025-01-19,google-ads,21,0.503
2025-01-19,googleads,12,0.552
2025-01-19,partner-network,16,0.657
2025-01-19,affiliate / partner,11,0.623
2025-01-19,FB,30,0.586
2025-01-19,klaviyo,4,0.522
2025-01-19,google / organic,6,0.326
2025-01-19,google-ads,17,0.471
2025-01-19,email / newsletter,7,0.43
2025-01-19,organic,7,0.438
2025-01-20,seo,6,0.345
2025-01-20,fb_paid,17,0.541
2025-01-20,fb_paid,22,0.691
2025-01-20,google / cpc,29,0.526
2025-01-20,partner-network,9,0.696
2025-01-20,adwords,33,0.456
2025-01-20,klaviyo,7,0.531
2025-01-20,organic,6,0.341
2025-01-20,klaviyo,7,0.467
2025-01-20,FB,17,0.564
2025-01-20,affiliate / partner,7,0.613
2025-01-21,partner-network,12,0.592
2025-01-21,(organic),19,0.444
2025-01-21,google / organic,11,0.276
2025-01-21,adwords,29,0.468
2025-01-21,facebook / paid,28,0.582
2025-01-21,googleads,19,0.387
2025-01-21,email / newsletter,4,0.351
2025-01-21,meta / social,23,0.507
2025-01-21,aff,6,0.551
2025-01-22,organic,11,0.476
2025-01-22,email-campaign,11,0.387
2025-01-22,facebook / paid,61,0.547
2025-01-22,AFFILIATE,18,0.709
2025-01-22,google-ads,44,0.538
2025-01-23,(organic),4,0.43
2025-01-23,klaviyo,7,0.564
2025-01-23,AFFILIATE,6,0.636
2025-01-23,google / cpc,51,0.408
2025-01-23,AFFILIATE,7,0.676
2025-01-23,email-campaign,5,0.443
2025-01-23,FB,21,0.556
2025-01-23,meta / social,17,0.672
2025-01-23,aff,9,0.595
2025-01-24,seo,2,0.296
2025-01-24,google-ads,11,0.438
2025-01-24,Email,4,0.524
2025-01-24,seo,2,0.374
2025-01-24,googleads,12,0.526
2025-01-24,Email,3,0.52
2025-01-24,partner-network,14,0.611
2025-01-24,facebook / paid,48,0.541
2025-01-24,adwords,19,0.434
2025-01-25,Email,3,0.427
2025-01-25,email / newsletter,5,0.51
2025-01-25,FB,50,0.557
2025-01-25,affiliate / partner,17,0.726
2025-01-25,google / organic,12,0.457
2025-01-25,googleads,54,0.565
